id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,habitaciones,dormitorios,baños,sup_total,sup_cubierta,precio,moneda,price_period,título,descr,tipo_propiedad,tipo_operac,sup_fondo
ce7dzwi+EB4uAwiY/6FTxQ==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57505417,-58.52606583,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Barrio Parque General San Martin,NA,NA,1,NA,2,64,56,124000,USD,NA,Av. Perdriel  2800 - U$D 124.000 - Departamento en Venta,"Con vistas amplias y gran luminosidad a metros de general paz, con excelente accesos.<br>2/3 ambientes amplios con balcón! Frente hacia calle Ituzaingó .<br><br>Todo con terminaciones de calidad, linea Ferrum y FV en baños y cocina. <br>Pisos de Porcellanato. <br>Carpinteria línea Modena amplias de pared a pared y de piso a techo dan una amplitud y vistas increíbles!<br>Zona residencial<br><br><br>Formas de Pago<br>Contado: Anticipo 50%, saldo 3 cuotas mensuales corridas<br>Financiado: Consultar <br><br>Opcional cocheras U$S16.000.-<br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:Cobertura cochera: DescubiertaPermite mascotas",Departamento,Venta,8
sV4L8jgMAcLFzsS+/AP8Jg==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57505417,-58.52606583,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Barrio Parque General San Martin,NA,NA,1,NA,2,100,54,158000,USD,NA,Av. Perdriel  2800 - U$D 158.000 - Departamento en Venta,"Ubicado en el 8vo piso con vistas amplias y gran luminosidad a metros de general paz, con excelente accesos.<br>2 ambientes amplios con terraza! Frente hacia calle Ituzaingó .<br><br>Todo con terminaciones de calidad, linea Ferrum y FV en baños y cocina. <br>Pisos de Porcellanato. <br>Carpinteria línea Modena amplas de pared a pared y de piso a techo dan una amplitud y vistas increíbles!<br>Zona residencial<br><br><br>Formas de Pago<br>Contado: Anticipo 50%, saldo 3 cuotas mensuales corridas<br>Financiado: Consultar <br><br>Opcional cocheras U$S16.000.-<br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:Cobertura cochera: DescubiertaPermite mascotas",Departamento,Venta,46
QPuP9ZOdR5DMMxSeMu3HsA==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57505417,-58.52606583,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Barrio Parque General San Martin,NA,NA,1,NA,1,40,32,77000,USD,NA,Av. Perdriel  2800 - U$D 77.000 - Departamento en Venta,"Con vistas amplias y gran luminosidad a metros de general paz, con excelente accesos.<br>Monoambiente en esquina! al frente con balcón!<br>Todo con terminaciones de calidad, linea Ferrum y FV en baños y cocina. <br>Pisos de Porcellanato. <br>Carpinteria línea Modena amplias de pared a pared y de piso a techo dan una amplitud y vistas increíbles!<br>Zona residencial<br><br><br>Formas de Pago<br>Contado: Anticipo 50%, saldo 3 cuotas mensuales corridas<br>Financiado: Consultar <br><br>Opcional cocheras U$S16.000.-<br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:Cobertura cochera: CubiertaLuminosidad: Muy luminoso",Departamento,Venta,8
0dtKwYf6643k5jOgSafWcA==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57505417,-58.52606583,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Barrio Parque General San Martin,NA,NA,1,NA,2,92,92,200000,USD,NA,Av. Perdriel  2800 - U$D 200.000 - Departamento en Venta,"Ubicado en el PB a metros de general paz, con excelente accesos.<br>amplio local comercial 94 m2 <br>2 baños <br>Todo con terminaciones de calidad, linea Ferrum y FV en baños y cocina. <br>Pisos de Porcellanato. <br>Carpinteria línea Modena amplias de pared a pared y de piso a techo dan una amplitud y vistas increíbles!<br>Zona residencial<br><br><br>Formas de Pago<br>Contado: Anticipo 50%, saldo 3 cuotas mensuales corridas<br>Financiado: Consultar <br><br>Opcional cocheras U$S16.000.-<br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:Cobertura cochera: DescubiertaUso comercial",Departamento,Venta,0
tMFDO1bzn96arEPuD5ZM/Q==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57575226,-58.53709793,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Barrio Parque General San Martin,NA,NA,1,NA,1,53,41,105000,USD,NA,Pelegrini Al  1800 - U$D 105.000 - Departamento en Venta,"<br>Hermoso y Moderno Semipiso de 2amb, se encuentra en el séptimo piso al contrafrente.  Con gran balcón corrido Vista abierta. Orientación Oeste<br>Al Ingreso nos encontramos con un pasillo distribuidor que nos lleva a un amplio living comedor con cocina integrada, la cual posee gran cantidad de muebles de guardado. Posee balcón corrido y semicubierto. El baño muy moderno cuenta con cabina de ducha.<br><br>Atención! Las fotos publicadas corresponden a la unidad antes de habitar y otras con el mobiliario que instalaron los propietarios.<br><br>Expensas aproximadas $3600<br><br>Los metros aquí publicados son aproximados. Los reales surgen de la escritura.<br>Esta publicidad respeta lo establecido en el art. 4 y 8? de la ley 24.240  <br><br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:Aire acondicionado",Departamento,Venta,12
iuumX+UTM19vbfVBxVfvOA==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57505417,-58.52606583,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Barrio Parque General San Martin,NA,NA,1,NA,2,51,44,100000,USD,NA,Av. Perdriel  2800 - U$D 100.000 - Departamento en Venta,"Ubicado en el 6to piso con vistas amplias y gran luminosidad a metros de general paz, con excelente accesos.<br>2 ambientes amplios!!!<br><br>Todo con terminaciones de calidad, linea Ferrum y FV en baños y cocina. <br>Pisos de Porcellanato. <br>Carpinteria línea Modena amplas de pared a pared y de piso a techo dan una amplitud y vistas increíbles!<br>Zona residencial<br><br><br>Formas de Pago<br>Contado: Anticipo 50%, saldo 3 cuotas mensuales corridas<br>Financiado: Consultar <br><br>Opcional cocheras U$S16.000.-<br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:Cobertura cochera: CubiertaPermite mascotasLuminosidad: Muy luminoso",Departamento,Venta,7
/iGsy2ZbhJbrNO+eelujuQ==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57844925,-58.54322052,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Barrio Parque General San Martin,NA,NA,2,NA,1,64,59,118000,USD,NA,Guemes Al  2200 - U$D 118.000 - Departamento en Venta,"Excelente Departamento en el centro de San Martín , CON VISTA ABIERTA AL PARQUE Y COCHERAS.Con dos dormitorios , muy amplio el principal con placard y orientación ""ESTE"" y el secundario ,mas chico con orientación ""OESTE"". <br>Al ingresar lo hacemos directamente al living , muy amplio y luminoso con orientación"" Oeste"" es decir muy luminoso por la tarde y por la mañana.A la derecha del living se encuentra pasillo distribuidor que conecta a los dormitorios y al baño completo.Todos los ambientes calefaccionados.pisos de parquet en pasillo  de distribución  y ambos dormitorios y de cerámica en cocina. <br>Muy buen  estado de conservación. <br>Digno de visitar y de comprar para una familia que necesita de una comodidad como ofrece esta unidad.  <br>Cochera opcional. Expensas bajas<br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:Aire acondicionadoCobertura cochera: CubiertaLuminosidad: Muy luminoso",Departamento,Venta,5
oZtERV1xi9ke7ElS8rBMKA==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57505417,-58.52606583,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Barrio Parque General San Martin,NA,NA,2,NA,2,69,69,172000,USD,NA,Av. Perdriel  2800 - U$D 172.000 - Departamento en Venta,"Ubicado en el 8vo piso con vistas amplias y gran luminosidad a metros de general paz, con excelente accesos.<br>3 ambientes amplios con balcón corrido a calle Perdriel con vistas al Golf Mitre. <br>Un dormitorio + dormitorio principal en suite. Baño y toilette.<br>El estar comedor es flexible, y podes independizar la cocina.,también tiene lavadero independiente.<br>Todo con terminaciones de calidad, linea Ferrum y FV en baños y cocina. <br>Pisos de Porcellanato. <br>Carpinteria línea Modena amplas de pared a pared y de piso a techo dan una amplitud y vistas increíbles!<br>Zona residencial<br><br><br>Formas de Pago<br>Contado: Anticipo 50%, saldo 3 cuotas mensuales corridas<br>Financiado: Consultar <br><br>Opcional cocheras U$S16.000.-<br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:CalefaccionCobertura cochera: Cubierta",Departamento,Venta,0
QGlccho2eu4BtjqnV2OHZQ==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.54982376,-58.57761002,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,3,NA,3,241,200,155000,USD,NA,Mar De Plata Al  4000 - U$D 155.000 - Casa en Venta,"<br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:Cobertura cochera: Cubierta",Casa,Venta,41
0p2ypLVnlSBm1PaY+bSAOg==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.54107285,-58.53087997,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Barrio Parque General San Martin,NA,NA,3,NA,1,62,62,92000,USD,NA,Italia Al  300 - U$D 92.000 - Departamento en Venta,"Ubicación Barrio Cerrado Canguro, complejo con vigilancia las 24hs, parrillas, juego para chicos y estacionamiento.<br><br>Se trata de un departamento en dúplex 3 amb con balcón, mas un entrepiso que se logro aprovechando la altura de los dormitorios en la planta alta.<br>Al ingreso por escalera exterior nos dirigimos a la unidad, la misma cuenta con living comedor con cocina integrada y lavadero en balcón que da al pulmón. En la planta alta se desarrollan los dos dormitorios con baño completo y se le agrego un entrepiso que genero aprox. 10m2 mas a los que figuran por escritura, totalizando aprox. 72m2 Totales.<br><br>Visitalo!<br>Para mudarse ya!<br><br><br>Los metros aquí publicados son aproximados. Los reales surgen de la escritura.<br>Esta publicidad respeta lo establecido en el art. 4 y 8 de la ley 24.240 <br><br>Todas las operaciones son a cargo del Martillero y Corredor responsable: Juan Carlos Montero - CUCICBA 7078 - CMCPSI 6549<br>Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos expresados (expensas, ABL) se refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales.Información adicional:Aire acondicionado",Departamento,Venta,0
