"player","goals","shots","assists","keyPasses","yellowCard","redCard","ligue","position","games","position_general"
"Aaron Connolly",5,59,2,12,0,0,"Premier League","FW",41,"Delantero"
"Aaron Cresswell",8,127,26,227,26,1,"Premier League","DL",224,"Defensor Lateral"
"Aaron Hickey",0,2,0,2,3,1,"Serie A","DL",11,"Defensor Lateral"
"Aaron Hunt",10,77,6,140,7,0,"Bundesliga","AMC",89,"Centrocampista Ofensivo"
"Aaron Lennon",8,51,6,73,11,0,"Premier League","Sub",120,"Suplente"
"Aaron Leya Iseka",10,82,2,32,8,1,"Ligue 1","Sub",79,"Suplente"
"Aaron Mattia Tabacchi",0,0,0,1,0,0,"Serie A","Sub",1,"Suplente"
"Aaron Mooy",9,105,6,132,9,1,"Premier League","MC",96,"Centrocampista"
"Aaron Ramsdale",0,0,1,4,1,0,"Premier League","GK",75,"Portero"
"Aaron Ramsey",28,315,33,211,17,0,"Premier League","Sub",181,"Suplente"
"Aaron Rowe",0,0,0,0,0,0,"Premier League","Sub",2,"Suplente"
"Aaron Seydel",1,4,0,0,0,0,"Bundesliga","Sub",6,"Suplente"
"Aaron Wan-Bissaka",2,23,11,73,16,1,"Premier League","DR",111,"Defensor Lateral"
"Aarón",0,0,0,0,1,0,"La Liga","GK",8,"Portero"
"Aarón Martín",0,41,6,158,17,0,"La Liga","DL",141,"Defensor Lateral"
"Aarón Ñíguez",0,29,1,12,5,0,"La Liga","AML",21,"Centrocampista Ofensivo"
"Abdallah Ndour",0,1,0,12,2,2,"Ligue 1","DML",15,"Centrocampista Defensivo"
"Abdel Barrada",2,36,6,70,5,2,"Ligue 1","Sub",33,"Suplente"
"Abdelhamid El Kaoutari",1,4,1,10,5,1,"Ligue 1","DC",69,"Defensor Central"
"Abdelhamid Sabiri",4,48,2,9,7,0,"Bundesliga","Sub",31,"Suplente"
"Abdelkader Ghezzal",0,20,0,3,0,0,"Serie A","Sub",19,"Suplente"
"Abdou Diakhate",0,0,0,0,0,0,"Serie A","Sub",1,"Suplente"
"Abdou Diallo",3,32,4,20,11,3,"Bundesliga","DC",103,"Defensor Central"
"Abdou Karim Coulibaly",0,11,0,6,0,0,"Ligue 1","FWL",9,"Delantero"
"Abdou Traoré",0,9,0,6,1,0,"Ligue 1","Sub",33,"Suplente"
"Abdoul Ba",0,2,0,0,0,0,"Ligue 1","Sub",9,"Suplente"
"Abdoul Camara",4,48,1,27,4,0,"Ligue 1","FWL",31,"Delantero"
"Abdoul Kader Bamba",4,34,4,60,7,0,"Ligue 1","Sub",56,"Suplente"
"Abdoul Sissoko",0,4,0,6,1,0,"La Liga","DL",11,"Defensor Lateral"
"Abdoulay Konko",0,20,0,12,5,0,"Serie A","DR",30,"Defensor Lateral"
"Abdoulaye Ba",1,17,0,5,14,2,"La Liga","DC",46,"Defensor Central"
"Abdoulaye Bamba",0,15,6,43,14,0,"Ligue 1","DR",79,"Defensor Lateral"
"Abdoulaye Dabo",0,0,0,3,0,0,"Ligue 1","AML",2,"Centrocampista Ofensivo"
"Abdoulaye Diaby",0,1,0,1,0,0,"Ligue 1","Sub",4,"Suplente"
"Abdoulaye Diallo",0,0,0,0,0,0,"Ligue 1","GK",16,"Portero"
"Abdoulaye Doucouré",24,282,23,223,46,0,"Premier League","MC",224,"Centrocampista"
"Abdoulaye Keita",0,11,1,3,2,0,"Ligue 1","Sub",30,"Suplente"
"Abdoulaye Sidibé",0,0,0,0,1,0,"Ligue 1","Sub",1,"Suplente"
"Abdoulaye Sylla",0,0,0,0,0,0,"Ligue 1","Sub",2,"Suplente"
"Abdoulaye Touré",9,162,4,80,13,1,"Ligue 1","MC",142,"Centrocampista"
"Abdul Rahman Baba",1,27,8,42,11,0,"Bundesliga","DL",75,"Defensor Lateral"
"Abdón Prats",0,11,0,1,1,0,"La Liga","Sub",20,"Suplente"
"Abel Aguilar",0,10,1,9,5,0,"Ligue 1","MC",21,"Centrocampista"
"Abel Gómez",0,23,0,18,2,0,"La Liga","DMC",22,"Centrocampista Defensivo"
"Abel Hernández",8,91,4,22,2,0,"Premier League","FW",49,"Delantero"
"Abel Ruiz",0,1,0,1,0,0,"La Liga","Sub",1,"Suplente"
"Ablie Jallow",0,1,0,2,0,0,"Ligue 1","AML",2,"Centrocampista Ofensivo"
"Abou Diaby",0,0,0,5,1,0,"Ligue 1","DMC",5,"Centrocampista Defensivo"
"Abou Ouattara",0,0,0,0,0,0,"Ligue 1","Sub",1,"Suplente"
"Aboubakar Kamara",4,37,0,24,4,2,"Premier League","Sub",36,"Suplente"
"Abraham",3,39,4,32,9,0,"La Liga","Sub",64,"Suplente"
"Accursio Bentivegna",0,2,0,0,1,0,"Serie A","Sub",7,"Suplente"
"Achraf Hakimi",16,100,22,88,15,0,"Bundesliga","DMR",100,"Centrocampista Defensivo"
"Achraf Lazaar",4,65,5,44,4,1,"Serie A","DML",68,"Centrocampista Defensivo"
"Adalberto Peñaranda",5,49,3,30,12,0,"La Liga","FW",45,"Delantero"
"Adam Armstrong",0,7,1,6,1,0,"Premier League","Sub",11,"Suplente"
"Adam Bodzek",0,11,1,17,15,1,"Bundesliga","MC",49,"Centrocampista"
"Adam Bogdan",0,0,0,0,0,0,"Premier League","GK",2,"Portero"
"Adam Clayton",0,11,2,20,10,0,"Premier League","MC",34,"Centrocampista"
"Adam Federici",0,0,0,0,1,0,"Premier League","GK",8,"Portero"
"Adam Forshaw",0,28,1,28,4,0,"Premier League","MC",34,"Centrocampista"
"Adam Hlousek",0,4,0,7,5,1,"Bundesliga","DL",29,"Defensor Lateral"
"Adam Idah",0,6,0,1,0,0,"Premier League","Sub",12,"Suplente"
"Adam Johnson",6,41,6,68,5,0,"Premier League","Sub",51,"Suplente"
"Adam Lallana",19,175,18,171,12,0,"Premier League","Sub",158,"Suplente"
"Adam Marusic",8,93,10,94,10,2,"Serie A","DMR",109,"Centrocampista Defensivo"
"Adam Masina",4,66,5,71,30,3,"Serie A","DL",139,"Defensor Lateral"
"Adam Matthews",0,0,0,0,0,0,"Premier League","Sub",1,"Suplente"
"Adam Matuschyk",0,7,1,3,0,0,"Bundesliga","Sub",10,"Suplente"
"Adam Ounas",17,148,11,118,12,2,"Ligue 1","Sub",112,"Suplente"
"Adam Smith",5,65,10,86,29,1,"Premier League","DR",143,"Defensor Lateral"
"Adam Webster",4,41,1,15,8,0,"Premier League","DC",60,"Defensor Central"
"Adam Zrelák",2,17,1,9,4,0,"Bundesliga","FW",14,"Delantero"
"Adama Diakhaby",6,44,3,22,5,1,"Ligue 1","Sub",59,"Suplente"
"Adama Diomande",2,23,0,13,1,0,"Premier League","Sub",22,"Suplente"
"Adama Mbengue",0,23,0,13,5,1,"Ligue 1","DL",30,"Defensor Lateral"
"Adama Niane",8,74,3,19,6,0,"Ligue 1","FW",36,"Delantero"
"Adama Soumaoro",4,45,1,16,21,2,"Ligue 1","DC",127,"Defensor Central"
"Adama Traoré",15,176,20,201,15,0,"Premier League","Sub",197,"Suplente"
"Adamo Coulibaly",4,58,1,22,4,0,"Ligue 1","FWL",33,"Delantero"
"Aday Benítez",2,42,2,35,12,0,"La Liga","DML",41,"Centrocampista Defensivo"
"Adel Taarabt",2,50,5,53,5,1,"Serie A","Sub",35,"Suplente"
"Adem Ljajic",27,246,23,228,11,0,"Serie A","FWL",119,"Delantero"
"Ademola Lookman",10,124,9,96,6,0,"Premier League","Sub",92,"Suplente"
"Aderlan Santos",0,9,0,1,1,1,"La Liga","DC",29,"Defensor Central"
"Adil Aouchiche",2,26,5,59,2,0,"Ligue 1","Sub",35,"Suplente"
"Adil Rami",3,64,5,28,22,2,"La Liga","DC",119,"Defensor Central"
"Adil Taoui",0,1,0,0,0,0,"Ligue 1","Sub",2,"Suplente"
"Adilson Malanda",0,0,0,0,0,0,"Ligue 1","Sub",1,"Suplente"
"Adlène Guédioura",0,37,3,19,5,0,"Premier League","Sub",42,"Suplente"
"Admir Mehmedi",20,177,18,171,11,0,"Bundesliga","Sub",160,"Suplente"
"Adnan Januzaj",13,206,19,169,14,1,"La Liga","Sub",153,"Suplente"
"Adnane Tighadouini",1,15,0,5,0,0,"La Liga","Sub",10,"Suplente"
"Adolfo Gaich",2,24,0,5,1,0,"Serie A","FW",15,"Delantero"
"Adrian Grbic",4,34,0,4,2,0,"Ligue 1","Sub",33,"Suplente"
"Adrian Mariappa",0,22,0,17,14,1,"Premier League","DC",96,"Defensor Central"
"Adrian Sahibeddine",0,2,0,0,0,0,"Ligue 1","Sub",3,"Suplente"
"Adrian Semper",0,0,0,0,0,0,"Serie A","GK",6,"Portero"
"Adrian Stoian",5,38,6,46,8,0,"Serie A","ML",59,"Centrocampista"
"Adriano",0,9,2,14,2,0,"La Liga","DL",24,"Defensor Lateral"
"Adriano Russo",1,1,0,3,2,0,"Serie A","DC",10,"Defensor Central"
"Adrien Hunou",25,127,3,53,7,0,"Ligue 1","Sub",108,"Suplente"
"Adrien Lebeau",0,0,0,0,0,0,"Ligue 1","Sub",2,"Suplente"
"Adrien Louveau",0,0,0,0,0,0,"Ligue 1","Sub",1,"Suplente"
"Adrien Rabiot",16,136,13,88,21,3,"Ligue 1","MC",180,"Centrocampista"
"Adrien Regattin",4,69,9,89,8,0,"Ligue 1","Sub",68,"Suplente"
"Adrien Silva",1,40,4,37,22,1,"Ligue 1","MC",75,"Centrocampista"
"Adrien Tameze",2,49,4,54,18,0,"Ligue 1","MC",111,"Centrocampista"
"Adrien Thomasson",28,314,24,236,33,3,"Ligue 1","AMC",216,"Centrocampista Ofensivo"
"Adrien Truffert",1,24,3,21,3,0,"Ligue 1","DL",29,"Defensor Lateral"
"Adrià Guerrero",0,0,0,0,1,0,"La Liga","Sub",2,"Suplente"
"Adrià Ortolá",0,0,0,1,0,0,"La Liga","GK",2,"Portero"
"Adrià Pedrosa",2,18,0,13,4,0,"La Liga","DL",32,"Defensor Lateral"
"Adrián",33,259,13,148,35,3,"La Liga","GK",340,"Portero"
"Adrián Colunga",0,4,0,3,0,1,"La Liga","AML",4,"Centrocampista Ofensivo"
"Adrián Cubas",1,11,0,10,4,1,"Ligue 1","DMC",28,"Centrocampista Defensivo"
"Adrián Diéguez",0,4,0,1,8,0,"La Liga","DC",15,"Defensor Central"
"Adrián Embarba",12,151,18,121,13,1,"La Liga","Sub",96,"Suplente"
"Adrián Gunino",0,1,0,13,4,0,"La Liga","DR",23,"Defensor Lateral"
"Adrián Marín",0,16,1,21,10,0,"La Liga","DL",63,"Defensor Lateral"
"Adrián Ramos",17,96,8,52,6,0,"Bundesliga","Sub",73,"Suplente"
"Adryan",3,29,2,29,2,1,"Ligue 1","AML",26,"Centrocampista Ofensivo"
"Aduriz",66,354,12,93,42,1,"La Liga","FW",164,"Delantero"
"Afonso Figueiredo",0,0,0,3,1,0,"Ligue 1","Sub",10,"Suplente"
"Afriyie Acquah",8,92,3,71,27,6,"Serie A","MC",123,"Centrocampista"
"Agustín Rogel",0,4,0,2,0,0,"Ligue 1","DC",10,"Defensor Central"
"Ahmad Toure Ngouyamsa Nounchili",0,0,0,0,2,0,"Ligue 1","Sub",4,"Suplente"
"Ahmadou Bamba Dieng",0,1,0,0,0,0,"Ligue 1","Sub",5,"Suplente"
"Ahmed Benali",7,52,4,43,8,1,"Serie A","MC",61,"Centrocampista"
"Ahmed Elmohamady",3,39,8,125,10,1,"Premier League","DR",103,"Defensor Lateral"
"Ahmed Hegazy",2,14,0,6,4,0,"Premier League","DC",39,"Defensor Central"
"Ahmed Kantari",1,12,0,5,6,0,"Ligue 1","DC",31,"Defensor Central"
"Ahmed Kashi",1,23,0,11,2,0,"Ligue 1","DMC",19,"Centrocampista Defensivo"
"Ahmed Kutucu",5,30,2,8,3,0,"Bundesliga","Sub",45,"Suplente"
"Ahmed Musa",2,17,0,7,1,0,"Premier League","Sub",21,"Suplente"
"Ahmet Arslan",0,0,0,0,0,0,"Bundesliga","Sub",1,"Suplente"
"Ahmet Gürleyen",0,1,0,0,0,0,"Bundesliga","Sub",1,"Suplente"
"Aiden McGeady",1,22,2,17,1,0,"Premier League","AMR",16,"Centrocampista Ofensivo"
